Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,25.1,28.24,24.950001,28,24.317337,356500
2011-02-01,28.15,30.459999,28.15,29.450001,25.576624,326400
2011-03-01,29.74,30.1,27.43,29.719999,25.811115,300400
2011-04-01,29.99,30,28.559999,28.9,25.197504,148800
2011-05-01,29,32.529999,28.15,31.74,27.673656,223100
2011-06-01,31.32,31.49,28,28.75,25.066721,181600
2011-07-01,29,30.6,28.51,29.08,25.444996,153300
2011-08-01,28.98,29.48,23.940001,24.99,21.866241,193100
2011-09-01,24.940001,25.24,21.09,21.870001,19.13624,122600
2011-10-01,21.77,25.75,21.120001,25.58,22.491005,123400
2011-11-01,25.01,26.93,23.85,26.1,22.948215,196100
2011-12-01,25.959999,26.190001,24.549999,25,21.981047,112000
2012-01-01,24.99,27.469999,24.99,27.469999,24.264933,75500
2012-02-01,27.889999,29.9,26.790001,29.299999,25.88142,101200
2012-03-01,29.360001,29.98,28.5,28.639999,25.298418,141500
2012-04-01,28.51,29.48,28.51,29.139999,25.845932,138000
2012-05-01,29.139999,29.25,24.48,25.969999,23.034283,147900
2012-06-01,25.52,26.370001,25.219999,25.74,22.830286,108400
2012-07-01,25.85,27.559999,25.85,26.370001,23.498493,125900
2012-08-01,26.5,31.33,26.4,30.690001,27.348066,176700
2012-09-01,30.73,32.5,30.52,32.209999,28.702551,267700
2012-10-01,32.240002,32.240002,29.26,29.6,26.496462,145100
2012-11-01,29.530001,33.189999,29.530001,33.189999,29.710049,419400
2012-12-01,33.049999,33.5,31.799999,32.650002,29.226683,124100
2013-01-01,32.759998,36.580002,32.48,35.98,32.34375,307800
2013-02-01,36,36.509998,34.759998,36.25,32.586472,252000
2013-03-01,36.07,38.400002,35.959999,38.02,34.177582,371000
2013-04-01,38.209999,39.75,36.049999,38.599998,34.826164,447500
2013-05-01,38.509998,39.25,35.299999,36.5,32.931484,556100
2013-06-01,36.68,36.779999,35.5,35.919998,32.408188,244300
2013-07-01,36.189999,40.98,36,40.099998,36.329384,790900
2013-08-01,40.400002,45.889999,40.380001,43.75,39.636185,317600
2013-09-01,44.169998,45.880001,42.5,45,40.76865,314300
2013-10-01,44.5,49.73,44.5,48.900002,44.451267,397700
2013-11-01,49,49.380001,45.009998,46.310001,42.096889,174200
2013-12-01,46.43,51.009998,45.099998,50.759998,46.14204,140200
2014-01-01,50.970001,53.23,46.93,47.779999,43.58466,157900
2014-02-01,47.810001,53.139999,45.290001,52,47.43412,382300
2014-03-01,51.27,60.240002,51.27,57.84,52.76133,542800
2014-04-01,57.43,60.75,57.43,60.23,55.097252,187300
2014-05-01,60.200001,65.510002,59.5,62.5,57.173805,180300
2014-06-01,62.990002,64.449997,60,61.009998,55.810783,242500
2014-07-01,61.48,67.650002,60.25,66.459999,60.963493,133500
2014-08-01,65.279999,67.199997,62.389999,65.18,59.78936,97200
2014-09-01,64.989998,65.93,62.029999,62.509998,57.340176,358500
2014-10-01,62.16,66.480003,56.040001,65.379997,60.132523,253300
2014-11-01,65.339996,69.25,63.490002,68.400002,62.910133,311900
2014-12-01,68.639999,72.489998,61.75,65.669998,60.399242,295100
2015-01-01,65.279999,65.849998,54.009998,55.400002,51.098839,324800
2015-02-01,55.23,60.599998,54.25,60.189999,55.516949,494300
2015-03-01,60.599998,61.490002,54.09,56.509998,52.122658,390400
2015-04-01,56.490002,61.16,55.799999,61.099998,56.530952,248300
2015-05-01,61,65.629997,59.77,64.010002,59.223354,149400
2015-06-01,64.370003,64.5,59.509998,61.27,56.688248,300700
2015-07-01,61.880001,64.220001,50.459999,53.759998,49.88921,452900
2015-08-01,53,55.990002,46.619999,55.779999,51.763756,398200
2015-09-01,54.5,60,52.75,56.25,52.199921,279800
2015-10-01,55.75,60.5,54.849998,58.02,54.031021,130900
2015-11-01,58.049999,58.150002,54.5,56.240002,52.373398,185300
2015-12-01,57.23,57.310001,50.529999,51.5,47.959286,335300
2016-01-01,50.990002,52.09,44.73,51.990002,48.591496,666200
2016-02-01,51.509998,51.98,45.200001,46.75,43.694019,294900
2016-03-01,48.5,55.200001,48.5,50.759998,47.441895,299100
2016-04-01,50.5,61.18,50.169998,59.950001,56.243797,456000
2016-05-01,59.950001,61,53.5,59.32,55.652748,396800
2016-06-01,58.599998,63.049999,53.32,55.990002,52.528614,304000
2016-07-01,56.029999,58.990002,53,54.25,51.073841,341900
2016-08-01,54.360001,62,54,59.5,56.016464,271700
2016-09-01,59.799999,61.900002,58,58.860001,55.413944,513100
2016-10-01,59,59.310001,50.849998,52.84,49.919289,1324200
2016-11-01,52.5,60.900002,50.119999,60.689999,57.335392,1109300
2016-12-01,60.950001,63.689999,58.380001,60.459999,57.118107,567300
2017-01-01,60.689999,62.459999,59.119999,59.450001,56.364506,414600
2017-02-01,60.07,74.660004,58.599998,70.400002,66.746193,619800
2017-03-01,71,73.440002,67,69.370003,65.769661,763500
2017-04-01,69.099998,71.209999,36.150002,36.490002,34.709984,4018400
2017-05-01,44.990002,53.349998,43.41,49.919998,47.484859,3628700
2017-06-01,49.779999,64.690002,49.25,59.48,56.578518,1367100
2017-07-01,59.790001,59.970001,53.310001,54.779999,52.331333,437800
2017-08-01,55.049999,60,52.060001,54.599998,52.159386,417100
2017-09-01,55.27,56.93,51.5,56,53.496807,367200
2017-10-01,56.599998,60.950001,55.490002,60,57.56739,407900
2017-11-01,60.43,67.889999,60.09,67.480003,64.744133,619400
2017-12-01,66.919998,72.389999,66.610001,71.5,68.601135,384400
2018-01-01,71.760002,72.980003,62.599998,67.120003,64.628593,631700
2018-02-01,66.760002,70.150002,60.59,61.43,59.149799,356300
2018-03-01,60.529999,61.5,52.009998,53.68,51.687462,880700
2018-04-01,54.080002,58.599998,52.75,57.919998,56.022961,653000
2018-05-01,58.93,59.939999,54.549999,54.650002,52.860065,693800
2018-06-01,54.599998,61.990002,53.849998,59.560001,57.609253,436900
2018-07-01,59.200001,63,57.060001,63,61.221722,465300
2018-08-01,62.990002,67.199997,62,64.970001,63.136116,611900
2018-09-01,65.300003,71.790001,64.739998,68.870003,66.926033,451400
2018-10-01,69.059998,69.75,56.119999,60.5,59.028439,739200
2018-11-01,60.689999,70.900002,60.689999,69.650002,67.955879,847400
